data,precipitacao_total_mm,temperatura_media_c,umidade_relativa_%,vento_m_s,queda_de_energia,ESTADO,ESTACAO
2023-08-08,0.00,30.59,38.83,1.05,0,MT,CUIABA
2023-08-08,0.00,23.75,45.71,0.66,0,GO,GOIANIA
2023-08-08,0.00,21.53,37.92,2.09,0,DF,BRASILIA
2023-08-09,0.00,17.45,69.33,8.12,1,MG,BELO HORIZONTE - CERCADINHO
2023-08-11,0.00,33.24,26.00,2.08,1,MT,CUIABA
2023-08-13,0.00,21.72,43.75,2.21,0,DF,BRASILIA
2023-08-13,0.00,26.21,60.33,2.27,0,MT,CUIABA
2023-08-13,5.00,24.41,75.92,1.20,0,BA,SALVADOR
2023-08-13,0.00,24.01,40.96,0.82,0,GO,GOIANIA
2023-08-13,0.00,23.64,71.38,1.22,0,ES,VITORIA
2023-08-13,0.00,14.71,61.83,0.98,0,SC,FLORIANOPOLIS
2023-08-14,0.00,19.19,61.62,6.60,1,MG,BELO HORIZONTE - CERCADINHO
2023-08-14,218.09,21.58,43.25,3.21,1,DF,BRASILIA
2023-08-14,0.00,24.58,41.04,1.54,1,GO,GOIANIA
2023-08-16,0.00,21.68,49.42,1.46,1,GO,GOIANIA
2023-08-17,0.00,21.61,81.92,2.44,1,SC,FLORIANOPOLIS
2023-08-17,0.00,22.58,77.88,0.62,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-08-17,0.00,17.46,69.04,5.05,0,MG,BELO HORIZONTE - CERCADINHO
2023-08-24,0.00,27.49,57.96,0.94,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-08-24,28.60,19.54,85.04,3.13,1,SC,FLORIANOPOLIS
2023-08-24,0.00,24.78,37.33,2.96,0,MG,BELO HORIZONTE - CERCADINHO
2023-08-27,58.38,14.75,87.88,9.66,1,MG,BELO HORIZONTE - CERCADINHO
2023-08-27,0.00,26.43,50.88,1.30,1,MT,CUIABA
2023-08-30,0.20,23.07,82.25,0.85,0,ES,VITORIA
2023-08-30,10.60,24.30,70.71,1.18,0,GO,GOIANIA
2023-08-30,0.00,25.30,85.21,0.88,0,BA,SALVADOR
2023-08-30,0.00,32.06,41.67,1.18,0,MT,CUIABA
